t,E,M,x,y,r,phi
0,0,0,4.8e+07,0,4.8e+07,0
3e+07,9.84545e-05,7.87636e-05,4.8e+07,5787.92,4.8e+07,0.000120582
6e+07,0.000196909,0.000157527,4.8e+07,11575.8,4.8e+07,0.000241163
9e+07,0.000295363,0.000236291,4.8e+07,17363.8,4.8e+07,0.000361745
1.2e+08,0.000393818,0.000315054,4.8e+07,23151.7,4.8e+07,0.000482327
1.5e+08,0.000492272,0.000393818,4.8e+07,28939.6,4.8e+07,0.000602908
1.8e+08,0.000590727,0.000472582,4.8e+07,34727.5,4.8e+07,0.00072349
2.1e+08,0.000689181,0.000551345,4.8e+07,40515.4,4.8e+07,0.000844071
2.4e+08,0.000787636,0.000630109,4.8e+07,46303.3,4.8e+07,0.000964653
2.7e+08,0.00088609,0.000708872,4.8e+07,52091.3,4.8e+07,0.00108523
3e+08,0.000984545,0.000787636,4.8e+07,57879.2,4.8e+07,0.00120582
3.3e+08,0.001083,0.0008664,4.8e+07,63667.1,4.8e+07,0.0013264
3.6e+08,0.00118145,0.000945163,4.8e+07,69455,4.8e+07,0.00144698
3.9e+08,0.00127991,0.00102393,4.8e+07,75242.9,4.8e+07,0.00156756
4.2e+08,0.00137836,0.00110269,4.79999e+07,81030.8,4.8e+07,0.00168814
4.5e+08,0.00147682,0.00118145,4.79999e+07,86818.7,4.8e+07,0.00180872
4.8e+08,0.00157527,0.00126022,4.79999e+07,92606.7,4.8e+07,0.00192931
5.1e+08,0.00167373,0.00133898,4.79999e+07,98394.6,4.8e+07,0.00204989
5.4e+08,0.00177218,0.00141774,4.79999e+07,104182,4.8e+07,0.00217047
5.7e+08,0.00187064,0.00149651,4.79999e+07,109970,4.8e+07,0.00229105
6e+08,0.00196909,0.00157527,4.79999e+07,115758,4.8e+07,0.00241163
6.3e+08,0.00206754,0.00165404,4.79999e+07,121546,4.8e+07,0.00253221
6.6e+08,0.002166,0.0017328,4.79999e+07,127334,4.8e+07,0.0026528
6.9e+08,0.00226445,0.00181156,4.79998e+07,133122,4.8e+07,0.00277338
7.2e+08,0.00236291,0.00189033,4.79998e+07,138910,4.8e+07,0.00289396
7.5e+08,0.00246136,0.00196909,4.79998e+07,144698,4.8e+07,0.00301454
7.8e+08,0.00255982,0.00204785,4.79998e+07,150486,4.8e+07,0.00313512
8.1e+08,0.00265827,0.00212662,4.79998e+07,156274,4.8e+07,0.0032557
8.4e+08,0.00275673,0.00220538,4.79998e+07,162061,4.8e+07,0.00337628
8.7e+08,0.00285518,0.00228414,4.79998e+07,167849,4.8e+07,0.00349687
9e+08,0.00295363,0.00236291,4.79997e+07,173637,4.80001e+07,0.00361745
9.3e+08,0.00305209,0.00244167,4.79997e+07,179425,4.80001e+07,0.00373803
9.6e+08,0.00315054,0.00252044,4.79997e+07,185213,4.80001e+07,0.00385861
9.9e+08,0.003249,0.0025992,4.79997e+07,191001,4.80001e+07,0.00397919
1.02e+09,0.00334745,0.00267796,4.79997e+07,196789,4.80001e+07,0.00409977
1.05e+09,0.00344591,0.00275673,4.79996e+07,202577,4.80001e+07,0.00422035
1.08e+09,0.00354436,0.00283549,4.79996e+07,208365,4.80001e+07,0.00434093
1.11e+09,0.00364281,0.00291425,4.79996e+07,214152,4.80001e+07,0.00446152
1.14e+09,0.00374127,0.00299302,4.79996e+07,219940,4.80001e+07,0.0045821
1.17e+09,0.00383972,0.00307178,4.79996e+07,225728,4.80001e+07,0.00470268
1.2e+09,0.00393818,0.00315054,4.79995e+07,231516,4.80001e+07,0.00482326
1.23e+09,0.00403663,0.00322931,4.79995e+07,237304,4.80001e+07,0.00494384
1.26e+09,0.00413509,0.00330807,4.79995e+07,243092,4.80001e+07,0.00506442
1.29e+09,0.00423354,0.00338683,4.79995e+07,248880,4.80001e+07,0.005185
1.32e+09,0.00433199,0.0034656,4.79994e+07,254667,4.80001e+07,0.00530558
1.35e+09,0.00443045,0.00354436,4.79994e+07,260455,4.80001e+07,0.00542616
1.38e+09,0.0045289,0.00362313,4.79994e+07,266243,4.80001e+07,0.00554675
1.41e+09,0.00462736,0.00370189,4.79994e+07,272031,4.80001e+07,0.00566733
1.44e+09,0.00472581,0.00378065,4.79993e+07,277819,4.80001e+07,0.00578791
1.47e+09,0.00482427,0.00385942,4.79993e+07,283607,4.80001e+07,0.00590849
1.5e+09,0.00492272,0.00393818,4.79993e+07,289394,4.80001e+07,0.00602907
1.53e+09,0.00502117,0.00401694,4.79992e+07,295182,4.80002e+07,0.00614965
1.56e+09,0.00511963,0.00409571,4.79992e+07,300970,4.80002e+07,0.00627023
1.59e+09,0.00521808,0.00417447,4.79992e+07,306758,4.80002e+07,0.00639081
1.62e+09,0.00531654,0.00425323,4.79992e+07,312546,4.80002e+07,0.00651139
1.65e+09,0.00541499,0.004332,4.79991e+07,318334,4.80002e+07,0.00663197
1.68e+09,0.00551344,0.00441076,4.79991e+07,324121,4.80002e+07,0.00675255
1.71e+09,0.0056119,0.00448953,4.79991e+07,329909,4.80002e+07,0.00687314
1.74e+09,0.00571035,0.00456829,4.7999e+07,335697,4.80002e+07,0.00699372
